Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
Boo 2! A Madea Halloween	2017	comedy	Tyler Perry	Tyler Perry (director/screenplay); Tyler Perry, Cassi Davis, Patrice Lovely, Yousef Erakat, Diamond White, Lexy Panterra, Andre Hall Brock O'Hurn, Tito Ortiz	"The film opens after school on Tiffany's 18th birthday. She and her friend Gabriella encounter Tiffany's dad Brian and brother B.J. outside the school. It seems that Brian always picks her up from school on her birthday wearing a birthday hat. Tiffany's mom, Brian's ex-wife Debrah, arrives and she and her new husband Calvin surprise Tiffany with the car she wanted (and hoped her father would give her), but she can't drive it well. She and Gabriella drive it to the frat house, where they hear that Jonathan and the others are having a Halloween party at Lake Derrick. She hopes to make it up to them for ruining the previous year's party. Jonathan invites her.
Brian finds Madea, Joe, Bam, and Hattie at his house to surprise Tiffany; she's underwhelmed. She sees her friend Leah and tells her about the party. Tiffany asks her mom if she can go to the party. She says yes to upset Brian, but he lets her go there to teach her a lesson.
Madea overhears Tiffany's conversation about the party and gets her friends to go with her to Lake Derrick to get Tiffany. Meanwhile, Tiffany rounds up Gabriella, Leah, and Anna (a girl who's stalking Horse) and they arrive at Lake Derrick in her new car. The frat boys meet up and have fun with the girls until frat boys disappear after seeing ""Derrick"", his brother, and his daughters.
On their way up to Lake Derrick, Joe and the ladies' argue to Madea about why she is taking them with to Lake Derrick instead of taking them home. Hattie decides to get out of the car and walk, but changes (she says ""shanged"") her mind.
While driving, Madea accidentally hits one of Derrick's daughters with her car when she mysteriously appears on the road; the gang argue over who will get out of the car and check on the little girl. Madea goes, and Bam and Hattie reluctantly follow. The little girl is crying. Madea says that they must go check on her, but Bam and Hattie are afraid to go check, but do so anyway. She pulls her hair and shows her face, which has scars, cuts, to everybody. The ladies run back to the car and Joe decides to drive. The little girl appears on top of the car, scaring everyone again, and Joe immediately drives away.
Back at Lake Derrick, Tiffany, Gabriella, Leah, and the remaining frat boys are at the campfire discussing the murders that happened in the area but Gabriella doesn't want to hear this and insist on leaving. They soon realize that some people from the party are missing, so Horse and Leah agree to look for them, but they actually want to get away to have sex. ""Derrick"" and his family chase them into the woods; running for their lives they trip and fall, giving ""Derrick"" a chance to grab Horse and drag him away from Leah. Leah says she'll get help but Horse is presumably ""killed."" Leah runs out of the forest and sees Madea and the gang waiting for the Cadillac to stop smoking so she waits with them until Bam sees a ""grim reaper"" standing in the middle of the road. Everyone except Madea is afraid; Madea thinks the frat boys are pranking them so she confronts him. She touches his scythe and gets a cut on her hand. She tries to touch his face, but when she just feels air she goes back to the car. The Grim Reaper follows and slashes one of the Cadillac's tires, but Joe continues to drive it anyway.
Gabriella reluctantly seeks safety in a tent with Dino, a frat brother who had been flirting with her all night, but they discover ""Derrick"" and his daughters outside the tent. In another tent Tiffany hooks up with Jonathan until ""Derrick"" tears down the tent. Tiffany, Gabriella, Jonathan, and Dino escape from the camp after Tiffany tries unsuccessfully to call her mom. Madea's group finally arrive at Lake Derrick, but the camp is empty. In the car Joe flirts with Leah until she run away after seeing Derrick's daughter at the car, and Joe makes rude comments to the little girl. While they are looking for Tiffany, Madea and Hattie go to an outhouse where Hattie relieves herself. Madea waits, but Derrick appears out of the river and she runs away. Hattie also runs away when the little girl appears and tries to grab her.
At the police station Debrah and Calvin desperately ask the sheriff to check for Tiffany at Lake Derrick but Brian shows up and tells Debrah that he will go look for her with his friend Victor, Gabriella's dad. Madea's car stops in front of a old broken-down house. Madea, Bam, and Hattie run into the house when they see the little girl who tells Joe that ""Derrick"" wants to talk him about the rude comments he made earlier. Joe goes to the chainsaw killer, but Joe runs away from him. Madea, Bam, and Hattie discover that Tiffany, Jonathan, Gabriella, Leah, and Dino are hiding in the house from Derrick too and think the adults are pranking them. At the window Madea, Bam, and Hattie think Joe is dead when they see ""Derrick"" and his brother drag him away so they try to come up with a plan to save everyone but the ladies argue until the little girl reappears, scaring everyone out of the house. Brian and Victor are waiting for them - they had been pranking them for lying and sneaking out, and for Debrah to learn to co-parent. Debrah agrees, and the people who were ""killed"" are found at the police station. However, the masked chainsaw killer at the outhouse wasn't part of the prank; he is the actual Derrick. When Brian and Victor realize this, they drive away from the camp. Joe then appears and it appears that he befriended the chainsaw killer. He then asks if he can help him kill Madea and he responds yes. After the screen cuts to black, a blooper reel appears."	American
 A Month of Sundays	2016	comedy	Matthew Saville	Anthony LaPaglia, John Clarke, Julia Blake	"Real estate agent Frank Mollard won't admit it, but he can't move on. Divorced but still attached, he can't sell a house in a property boom - much less connect with his teenage son. One night Frank gets a phone call from his mother. Nothing out of the ordinary. Apart from the fact that she died a year ago.
Thus blossoms a charming and unusual friendship with an elderly woman which inspires Frank to reconnect with life."	Australian
The Grand Seduction	2013	comedy	Don McKellar	Taylor Kitsch, Brendan Gleeson, Liane Balaban, Gordon Pinsent	"The story begins with Murray French as a young boy, narrating about his father, one of the fishermen in the small community of Tickle Head, Newfoundland. Murray feels that the community has a shared sense of purpose and an ethic of hard work, and notes his parents' domestic bliss.
Several years later, the men of Tickle Head (including Murray) line up at the town's post office to receive welfare cheques from post office clerk Kathleen and cash them with bank branch manager Henry Tilley. Adding to the indignity, Murray's wife is separating from him for a job in St. John's. At a town meeting, the mayor tells Murray that a petrochemical factory was being negotiated for the town, but that the company requires a doctor to be resident there, and the community has been trying unsuccessfully for 8 years to find one. Murray resolves that the factory, and thus the doctor, are the solution to his troubles. He later observes the mayor surreptitiously leaving town with his family for a job in St. John's as well.
In St. John's, Dr. Paul Lewis, a plastic surgeon, is flying home after being part of a winning team in a cricket competition, when a security agent finds cocaine in his luggage. The agent is the former mayor of Tickle Head, who makes a deal with Lewis. In exchange for overlooking the possession of cocaine, Dr. Lewis agrees to live in the town for one month. Murray arranges for the ""seduction"" of Dr. Lewis to a long-term contract, lying to the townspeople that this will guarantee the choice of Tickle Head as the location for the new factory. As part of the ruse, he convinces the townspeople to pretend to play cricket, the doctor's favourite sport, and also taps the doctor's phone to learn more ways to entice him to stay.
The executive of the petrochemical company visits the town and tells Murray, posing as the mayor, that the rival town of St. Anne has made a more attractive offer, including a bribe. The executive demands a bribe of $100,000 before the plant will be awarded to Tickle Head, as well as expressing concern about a population in Tickle Head that is too small for the factory. Henry's bank denies the request for a loan, and when Henry presses the issue, tells him that he could be replaced with an ATM, leading Henry to approve the loan against bank instructions, knowing he will be fired.
Meanwhile, the town's deception and favourable attention do persuade Lewis to stay, helped also by the discovery that his fiancée Helen has been cheating on him with his best friend. But when he accepts the position in front of the whole town, in a speech praising their authenticity and integrity, Murray ashamedly lies and tells him that another doctor has already accepted the position. Kathleen then tells Lewis the truth, revealing the deceptions, causing Lewis to angrily confront Murray just as the executive is signing the paperwork for the factory. After an impassioned speech by Murray, the doctor agrees to stay, and the company agrees to build the factory.
Some time later, the factory has opened, bringing dignity to the town again. Murray has been reunited with his wife, and there is a job for Henry, who has been replaced with an ATM. The film ends with a satisfied ending similar to Murray's opening flashback."	Canadian
Anchorman 2: The Legend Continues	2013	comedy	Adam McKay	Will Ferrell, Christina Applegate, Paul Rudd, David Koechner, Steve Carell, Kristen Wiig, James Marsden, Dylan Baker, Meagan Good, Harrison Ford, Greg Kinnear, Josh Lawson, Vince Vaughn, Luke Wilson, Nicole Kidman, Fred Willard, Chris Parnell, Fred Armisen, Jim Carrey, Sacha Baron Cohen, Drake, Kirsten Dunst, Tina Fey, Will Smith, Liam Neeson, Amy Poehler, John C. Reilly, Kanye West, Billie Joe Armstrong, Mike Dirnt, Tré Cool, Jason White, Lewis Hamilton	"In 1980, Ron Burgundy (Will Ferrell) and Veronica Corningstone (Christina Applegate) are married and are both co-anchors for a prestigious news network in New York City. One day, Mack Tannen (Harrison Ford), the most famous nightly news anchor in New York, reveals that he is retiring. He intends to promote Corningstone, making her the first female nightly news anchor in the history of television, and to fire Burgundy due to his continuously sloppy performance on air. Burgundy grows jealous of Corningstone's success and storms out of the house, leaving her and their 6-year-old son Walter (Judah Nelson).
Six months later, Burgundy is back in San Diego, but barely able to hold a job due to his depression. After being fired from SeaWorld and botching a suicide attempt, Burgundy accepts a job offered to him by Freddie Shapp (Dylan Baker) with GNN, the world's first 24-hour news network, for the station's official launch. He reassembles his news team, finding Champ Kind (David Koechner), who owns a fried chicken store (that sells bats secretly to cut down on costs), Brian Fantana (Paul Rudd), now a famous cat photographer, and Brick Tamland (Steve Carell), who is presumed dead but appears at his own funeral. They are assigned the unpopular late-night timeslot while obnoxious rival anchorman Jack Lime (James Marsden) is put in a primetime slot. Meanwhile, Burgundy finds that Corningstone has started dating psychologist Gary (Greg Kinnear).
As GNN launches, Burgundy decides to broadcast what the people want to hear, rather than what they need to hear. He and his team devise a sensationalist and patriotic newscast. Their new approach proves to be a hit, beating Lime in ratings by a massive margin, and the other news networks scramble to emulate them. Burgundy and his team are promoted to primetime, where they enjoy fame and fortune. Burgundy's success excites GNN's manager, Linda Jackson (Meagan Good), and they begin a romantic relationship. Tamland meets a similarly eccentric GNN office worker named Chani (Kristen Wiig) and immediately falls in love. Burgundy lets his newfound fame get to his head and neglects his parental obligations to Walter, angering Corningstone. He also alienates Fantana, Kind, and Tamland, claiming he is tired of carrying them.
During a party celebrating GNN's success, Lime causes Burgundy to slip and suffer a head injury, resulting in him becoming temporarily blind. Unable to read the news, Burgundy isolates himself in a lighthouse, unable to adjust to his temporary loss of vision. Corningstone arrives with Walter for a visit, announcing that she has quit her own job, and Burgundy bonds with his family, gradually adjusting to his disability. Burgundy and his son rehabilitate a small shark, naming him Doby before setting him free. Later, Burgundy discovers that Corningstone was concealing messages from his eye doctor regarding an experimental procedure, since she thought his blindness has been significant in the family bonding. He leaves angrily, gets his vision restored, and returns to GNN.
Back in New York, Burgundy is once again approached by Corningstone, who pleads with him to attend Walter's piano recital. At the same time, an exclusive news story comes in, requiring Burgundy to cover it. However, on live TV, Burgundy instead admits that news is supposed to inform, not entertain, and takes responsibility for the mistakes he made, following it up by quitting and walking off. He leaves for Walter's recital but is intercepted by an angered Lime and his team and several other news teams, all of whom want to kill him due to his fame. Burgundy's friends arrive to defend him and a massive battle ensues. Burgundy's old arch-rival Wes Mantooth (Vince Vaughn) arrives in time to save Ron from Lime's news crew, before Brick sets off an explosion. Burgundy manages to reach Walter's recital in time, and reconcile with Corningstone.
Burgundy and his friends later attend Tamland's and Chani's wedding on the beach. During the wedding, Ron spots Doby in the water and tries to greet him, only to be attacked, forcing his dog Baxter to rescue him."	American
Life After Beth	2014	comedy	Jeff Baena	"Aubrey Plaza
Dane DeHaan
Anna Kendrick
Molly Shannon"	"After his girlfriend Beth Slocum (Aubrey Plaza) dies, Zach Orfman (Dane DeHaan) is left devastated. He begins to spend time with Beth's parents Maury (John C. Reilly) and Geenie (Molly Shannon) as a source of comfort. Zach confesses to Maury that he and Beth were having problems in their relationship; Maury advises him not to let the end of the relationship define it.
The Slocums stop contacting Zach. Confused, he goes to their house and sees Beth through a window. Zach yells at the Slocums to let him in but his brother Kyle, a security officer, escorts him off the premises. At home, Zach's manic demeanor and strange comments that Beth is alive causes his parents, Judy and Noah, to worry. That night, Zach breaks in and discovers that Beth's parents have been hiding her. A heated argument ensues before Zach storms off. Later, he goes to Beth's grave and sees a large hole in its place. He confronts Geenie and Maury with this and they explain that, after the funeral, Beth suddenly reappeared, seemingly alive and well. Beth's parents are reluctant to let her leave the house, especially during daytime, and refuse to tell her that she died. When Zach takes Beth on a daytime date in the park, she gets blisters on her face, apparently from the sun. Maury bans Zach from the Slocum house and seeing Beth, but Zach continues to sneak in.
Zach starts to notice people around town acting similarly to Beth, who has grown increasingly violent and has mood swings; he also discovers smooth jazz can calm her down. He also notes that Beth and people like her are stronger now than when they were living humans. Zach brings Beth to her grave and informs her of her death and resurrection, then tries to break up with her, only for her to angrily run off with his car. Zach walks home and discovers his family members shocked by the sudden reappearance of his dead grandfather. Maury picks up Zach and tells him that Beth is extremely upset, insisting that Zach tell her that he lied about her death and promise to be with her forever; Zach reluctantly agrees.
Zach's attempts to talk to Beth fail. When she eats a bystander, he drives away, with her in the car. Maury catches them, knocks Zach unconscious, and takes Beth. Once he has recovered, Zach heads home, and finds a stranger inside the house and burnt bodies in the backyard. Believing his family dead, Zach packs his bags, and prepares to leave the state. However, he changes his mind and drives back to the Slocum house.
He finds the house is in disarray, with Geenie and Beth in the kitchen. Tied to a stove, Beth has become a full-fledged, bloodthirsty zombie, having eaten Maury and bitten off Geenie's hand. Zach convinces Geenie to leave, then calms Beth by promising to hike with her like she always asked him to. They run into Kyle, who has gone hunting zombies. He reveals that their parents are still alive, having escaped to a safehouse. Kyle gives Zach his handgun, reminding him that Beth is suffering.
On their hike, Zach and Beth stop by a cliff. He tearfully apologizes to her for never doing the things she wanted when she was still alive. They say ""I love you"" to each other, and Zach shoots her in the head.
Zach is reunited with his family at the safehouse, along with a traumatized Erica (Anna Kendrick), who was forced to kill her own grandmother. The survivors make plans to leave town but, suddenly, the power returns and a TV news story shows things inexplicably going back to normal. Zach visits the graves of Beth and Maury, leaving Beth's scarf on her tombstone, and a knight chess piece on Maury's. Zach's mom picks him up in her car, with Erica in the backseat. Zach invites Erica for dinner and she accepts, smiling as they drive off."	American
I Belonged to You	2016	comedy	Zhang Yibai	Deng Chao, Bai Baihe, Yang Yang, Zhang Tianai, Yue Yunpeng, Du Juan, Liu Yan	"I Belonged To You is a romance omnibus of mini love stories adapted from Zhang Jiajia's best-selling internet ""bedtime stories"" novel of the same name. Chen Mo (Deng Chao), is known as the cheapest person in the whole city. Every day he will battle against DJ Xiao Rong (Du Juan). No one knows where their hate comes from. Chen Mo's two little brothers, whether it is the silliest Zhu Tou (Yue Yun Peng) or the city's most innocent Mo Shi Ba (Yang Yang), the three people all go on rampages daily, thinking that they can all live freely, but the result is that they all hit the greatest turning point of their lives. Chen Mo meets the mysterious Yao Ji (Zhang Tianai), Zhu Tou creates the worst wedding of all time, Mo Shi Ba experiences the saddest parting. These people's lives reveal things little by little. Dreams, love, friendship all go far away. They have already lost their own paths, until they hear a voice from around the world.[4]"	Chinese
From Vegas to Macau	2014	comedy	Wong Jing	Chow Yun-fat, Nicholas Tse, Jing Tian, Chapman To, Benz Hui, Michael Wong, Gao Hu, Annie Wu, Sammy Sum, Zhang Jin, Tong Fei, Philip Ng, Meng Yao, Michelle Hu, Tony Ho, Bonnie Wong, Winnie Leung	"Benz, his son ""Cool"" and nephew Ngau-Ngau are part of a team of vigilantes who rob gangsters at night and distribute the loot to the needy. However, his wife is suffering from cancer and knows nothing of their activities. Unbeknownst to all of them, Benz's stepson Lionel, a police officer, is on a deep undercover assignment as an employee of a multinational company called DOA. It is later revealed that DOA is merely the corporate front of a large criminal syndicate and is run by the ruthless Mr. Ko. Lionel, who had a camera surgically implanted onto a contact lens which he wore so the police could track the syndicate's activities and eventually nab them.
Meanwhile, Benz reunites with his old friend Ken, known as the ""Magic Hand"". Ngau-Ngau becomes infatuated with Ken's daughter Rainbow and is determined to win her affection, even though Ken eventually makes it known that he prefers ""Cool"" to date his daughter and Rainbow repeatedly rebuffs Ngau-Ngau's efforts. Lionel realizes his cover has been blown and hides the contact lens in a stuffed teddy bear at home without his family's knowledge. Ngau-Ngau gives the bear to Rainbow when he and ""Cool"" visit Ken's house. Mr. Ko sends an assassin to Lionel's flat, only to find Benz, who has just returned home. Benz is beaten and tortured and ends up in a coma while Lionel's body is found later, also bearing torture marks.
Police detectives from China, Hong Kong and Macau decide to enlist the help of Ken to take down the wily and cunning Mr. Ko. Ken challenges Mr. Ko to a gambling match in hopes of provoking him into making a mistake. During the match he discovers that DOA's assassins have attacked his house and Rainbow, ""Cool"" and Ngau-Ngau are inside.
Rainbow is put inside a glass tank, which has gas in it. During the match, Ken reveals that he had undergone through a surgery to implant a card sensor into his fingernail which allows the details of a certain card into the person's brain. The people following Mr. Ko start a revolution against him after watching Lionel Messi of Barcelona score against Real Madrid, winning them. After killing them all, Mr. Ko tries finding Ken. Ken starts shooting cards in retaliation. ""Cool"", is revealed to be wearing the mask of one of Mr. Ko's crew, whom had secretly diverted the ship back towards the waters, which police are now making their way to. While making their way towards the top, ""Cool"" and Rainbow meets the Assassin. ""Cool"" and the Assassin fight, which ""Cool"" ends him off with a few punches to his face, making him look like a duck.
Mr. Ko starts to escape, only to be met by Ken. Ken now mercilessly shoots cards at Mr. Ko, striking him multiple times. Mr. Ko is later subdued by him, and arrested by the Police.
While Ken is doing the disciple rituals with ""Cool"" on the first day of the Lunar New Year at his place, ""Cool"" receives a call from a mysterious someone, who also shows interest to take Cool as his disciple. Ken questions Cool who is more qualified to impart his skills to him. At this moment, the doors swing open. A man in his black suit, playing with his jade ring walks into the scene. ""I believe I am qualified to take him as my disciple."" This man was no other than God of Gamblers Ko Chun (from the God of Gamblers series) himself."	Chinese
Darling Companion	2012	comedy	Lawrence Kasdan	Mark Duplass, Richard Jenkins, Diane Keaton, Kevin Kline, Elisabeth Moss, Sam Shepard, Dianne Wiest, Ayelet Zurer	"Beth Winter (Keaton) rescues a lost dog from the roadside and names him Freeway. Her children have grown up and moved away, and her husband, Joseph (Kline), is distracted and self-involved. Beth forms a strong friendship with the dog and is deeply upset when, after her daughter's wedding, her husband loses the dog. They engage the service of a psychic gypsy to find the dog again.
In the end after finally giving up, the family boards an airplane. While flying over the mountains, Beth sees the dog and her husband fakes a ruptured appendix to have the pilot turn the airplane around. In one last attempt at a search, they scour the trees in the area Beth saw the dog, when at last Freeway appears in a field and runs to Beth, reunited at last, bringing the family closer together."	American
Ass Backwards	2013	comedy	Chris Nelson	June Diane Raphael, Casey Wilson, Alicia Silverstone, Jon Cryer, Vincent D'Onofrio, Brian Geraghty, Bob Odenkirk, Paul Scheer	"Loveable losers Kate and Chloe (June Diane Raphael and Casey Wilson) are best friends with a not so firm grip on reality. The girls have been inseparable ever since tying for dead last at a kiddie beauty pageant as children. Now they are all grown up and living in New York City, where Chloe is a ""rising star"" dancing in a glass box at a nightclub and Kate is the ""CEO"" of her own one-woman egg-donor ""corporation."" Their past humiliations at the pageant remain long forgotten until they receive an invitation to the pageant's milestone anniversary celebration. With the unpleasant memories flooding back, Kate and Chloe decide to redeem themselves and take a roadtrip back to their hometown and win the elusive crown.
On the road, they face some hard truths about themselves and each other as they encounter drug addicts, spring breakers, strip club hooligans, a feminist farming collective, and their favorite reality TV star, leading to the girls' homecoming and final reckoning with their past, present and future.[1]
The film features Alicia Silverstone as Laurel, Kate and Chloe's former beauty pageant rival, and Vincent D'Onofrio as Chloe's dad, Bruce."	American
The Duff	2015	comedy	Ari Sandel	"Mae Whitman
Robbie Amell
Bella Thorne
Bianca A. Santos"	"Bianca is enjoying her senior year of high school in the suburbs of Atlanta with her two best friends, Jess and Casey, both of whom are significantly more popular than she is. She is also the neighbor and former childhood friend of Wesley, a star on the school's football team, with whom she had fallen out during high school. She has a crush on guitar-playing Toby, and reluctantly attends a party hosted by mean-girl Madison, hoping to talk to him. The party turns out to be a disaster for her, as it's there that Wesley unthinkingly reveals to her that she is the DUFF of her friend group, the Designated Ugly Fat Friend. The DUFF does not actually have to be ugly or fat, he explains, it's just the person in a social group who is less popular and more accessible than the others in the group. People exploit the DUFF to get to the popular people.
Bianca is insulted and devastated, but she soon realizes Wesley is right. The students in her high school are only interested in her as a way to get to Jess and Casey. She takes her anger out on Jess and Casey and ""unfriends"" them on social media and in person.
Bianca later overhears Wesley's science teacher Mr. Fillmore telling Wesley that unless he passes the midterm, he's off the football team, which could cost him his football scholarship. Desperate to change her social standing and go on a date with Toby, Bianca strikes a deal with Wesley—she'll help him pass science if he'll advise her how to stop being a DUFF. They have a fun time at a mall, attempting a makeover by buying new clothes. This backfires when Madison's minion records Bianca playing around in her new clothes and pretending that a mannequin is Toby. They create a video ridiculing Bianca and post it online leading to the entire school mocking her. It also becomes clear that Madison (a reality-TV wannabe) feels possessive of Wesley, her on-again off-again boyfriend, and is jealous of Bianca's relationship with him.
Wesley tells Bianca not to let the video destroy her. Instead, he suggests she own it and just be upfront with Toby by talking directly to him and asking him out. When Bianca sees Toby at school, she does ask him, and to her surprise he accepts. When Wesley becomes frustrated by the constant arguing between his parents, Bianca takes him to her favorite spot in the forest, her ""think rock,"" to help him cope with a possible divorce. They kiss, but joke about it and pretend it didn't mean anything. At Bianca and Toby's date at his house, she finds herself thinking about Wesley, but tries to brush it off. She ultimately discovers that Toby is ""Duffing"" her—spending time with her in order to connect with Jess and Casey. She confronts Toby, finally seeing him for the shallow and superficial jerk he is, and leaves in tears. Seeking Wesley to talk with him about the date, she finds him at the thinking rock kissing Madison.
Angry with Toby and Wesley, she reunites with Jess and Casey who were genuine friends all along. They, along with her understanding mother Dottie, convince her to go to the homecoming dance with them, in an outfit they create together that incorporates elements of Bianca's previous wardrobe such as her flannel shirts. At the dance, Bianca tells off Madison, saying essentially that we are all DUFFs who should be true to our own identities and her bullying was just a reflection of her own insecurities about herself. Madison is crowned homecoming queen and Wesley is crowned king, but he rejects Madison and the title and kisses Bianca in front of the whole school. In the end, Bianca's article about homecoming is a hit with the students; Bianca is going to attend Northwestern University while Wesley goes to Ohio State. In the end Bianca and Wesley are still together."	American
No Men Beyond This Point	2015	comedy	Mark Sawers	Patrick Gilmore, Kristine Cofsky, Rekha Sharma	The film is a science fiction mockumentary set in an alternate timeline where in the 1950s, human females began reproducing by parthenogenesis. Nine months after a near-Earth object almost hit Earth in 1952, the first fatherless baby is born. Sexual reproduction became rarer and rarer, and the babies born by way of parthenogenesis were all female, so that by the 2010s (when the mock documentary is filmed), the youngest male human on Earth is 37 years old; he is the ostensible subject of the mock documentary.[3][4]	Canadian
Alexander and the Terrible, Horrible, No Good, Very Bad Day	2014	comedy	Miguel Arteta	"Steve Carell
Jennifer Garner
Ed Oxenbould
Dylan Minnette"	"The film follows the exploits of Alexander Cooper (Ed Oxenbould), an ordinary 12-year-old boy, and his ""terrible, horrible, no good, very bad day."" He is left out by his family; his older brother, Anthony (Dylan Minnette), his older sister, Emily (Kerris Dorsey), his mother, Kelly (Jennifer Garner), his father, Ben (Steve Carell), and his baby brother, Trevor (Elise/Zoey Vargas), living in the Los Angeles metropolitan area of California.
Anthony is trying to earn his driver's license so he can drive his girlfriend, Celia to the prom, Emily is rehearsing for the title role in her school play, Kelly is working for a publication company that is publishing a new children's book which will promote her to vice president of the company, and Ben, who has been unemployed for seven months, has landed a job interview as a game designer for a video game company.
That same morning, Alexander attends school where he experiences another series of mishaps, such as accidentally setting fire to his crush, Becky Gibson's, notebook as well as finding out that his friends, including Becky, and even his best friend, Paul, will all be attending the birthday party of Philip Parker (Lincoln Melcher) instead of his, due to Philip's expensive party entertainment and popularity. That night, Alexander puts a candle on a cupcake and wishes that everyone in his family would experience what he is going through.
The next morning, Alexander wakes up to find his family in disarray and chaos erupts; his parents have overslept, Emily has a cold, and Anthony has found out that he and Celia broke up. The battery in Kelly's car is dead, and Ben has to take Trevor with him to the interview after dropping Kelly off at work. At school, Paul gives Alexander good news: Philip's birthday party is canceled (as Philip has the chicken pox), so the kids (including Becky and Paul) that were originally going to attend Philip's party will attend Alexander's party instead, much to Alexander's delight. Alexander calls his father, asking him to plan a party for him. Kelly is informed of an embarrassing typo in the book they are publicizing (""dump"" instead of ""jump"") and needs to stop Dick Van Dyke from reading it at a public reading later. Ben takes Trevor along to the office interview and meets Greg (Donald Glover) who seems impressed at his credentials, although they decide to hold another meeting after Trevor ingests a highlighter. Meanwhile, at school, Anthony finds out that Celia has gotten back together with him. Feeling excited about what happened, Anthony jumps up and hits a banner, not knowing that it's connected to two trophy cases, which fall and smash. Because of this, Anthony is suspended from school.
Kelly manages to arrive at Dick Van Dyke's reading, but she is too late in trying to warn him about the book's typo. He reads it with the inappropriate material, humiliating himself, scaring the kids and almost getting Kelly arrested. Meanwhile, Ben purchases cough syrup for Emily's symptoms and takes Anthony to the Department of Motor Vehicles, where his driving examiner intentionally distracts him by convincing him to pick up his cell phone, causing him to destroy several parking meters and damage the family minivan, and ultimately fail his driving exam. They all go to Emily's play, which is inadvertently sabotaged by her impaired behavior because of her getting excessively drunk after overdosing on the cough syrup. Afterwards, the game design firm calls Ben and asks him to meet them at Nagamaki, a Japanese hibachi restaurant, for another meeting. The family, joined by Celia, goes to the restaurant in their badly damaged minivan, where Ben accidentally sets his shirt on fire at the grill, embarrassing him to the employers. The whole family consoles him, admitting that they will overcome whatever else the day has in store for them. Alexander states, ""You just gotta have the bad days so you can love the good days even more"", and Anthony suddenly decides not to go to the prom with Celia, stating that his family is more important, and they break up completely.
The family returns home and discovers that Ben had hired a rental animal service to recreate an Australian petting zoo for Alexander's birthday party. A crocodile and kangaroo, however, have escaped from their cage. They then decide to pitch in to try and salvage the day by helping host it. Ben and Kelly receive good news: he got hired for the game design job, and she has been informed that the celebrity reading went viral and has created publicity for the book. Reunited, Ben then brings out the cake, with Alexander wishing for more days like the one they shared together."	American
Shed Skin Papa	2016	comedy	Roy Szeto	Francis Ng, Louis Koo, Jessie Li, Jacky Cai, Kristal Tin	Washed-out film director Tin Lik-hang (Louis Koo) is encountering a series of crisis in life. His mother has recently passed away, his film company is bankrupt and debt-ridden as a result, while wife wants a divorce. On the other hand, he must now take care of his 79-year-old dementia-ridden father, Yat-hung (Francis Ng). In the midst of Lik-hang's miserable plight, Yat-hung suddenly begins to shed a layer of skin every day like a cicada, each time making him look ten years younger, from ages 60 to 52 to 37 to 28 to 19. As Yat-hung approaches the same age as his son, they bond at a football stadium where they used to spend their weekends. Yat-hung even helps frighten debt collectors after his son, and charms both Lik-hang's wife and his mistress. With Yat-hung's six stages of life reappearing, Lik-hang, who never seriously got along with his father, was able to travel into the six eras of his father's life, and gain new understandings for his father, who struggled to make a better life for his family. Lik-hang also has the opportunity to have one final meal with his mother, before returning to his reality with passion anew to revive his own career and marriage after learning from the twists and turns experienced by his father.	Hong Kong
Growing Up Smith	2017	comedy	Frank Lotito	Frank Lotito (director); Jason Lee, Anjul Nigam, Brighton Sharbino, Hilarie Burton, Roni Akurati	"Growing Up Smith is a coming-of-age story of Smith, a 10-year-old boy from India growing up in small-town America in 1979.
As the boy's family tries to straddle the fine line between embracing the American Dream and preserving their Indian heritage, the awkward little hero sneaks out for a taste of Kentucky Fried Chicken (even though his family is vegetarian), dons a Saturday Night Fever costume, and contends with his parents as they send him to school with a yellow squash instead of a pumpkin to carve for Halloween.
And as Smith falls head-over-heels in love with Amy, the girl-next-door, he finds in Amy's father Butch the all-American cowboy he wishes his own father could be. But alas, when Smith goes on a hunting adventure with Butch, Smith's father Bhaaskar fears Smith will lose any hope of remaining a respectable Indian boy and banishes him back to India. Nineteen years later Smith will return to America, back to a place he once called home.
Movie ends with Smith heading to Amy's place to meet her after his return."	American
