job_title,job_ad_details,nation_short_desc
MEPFS Engineer,"•Coordination with different trade contractor to ensure proper utilities hierarchy of MEPFS works.
<br />• Review plan, Shop drawing and all related drawings for project completion.
<br />• Perform other tasks that may be assigned from time to time.
<br />QUALIFICATIONS:
<br />• Graduate of Engineering course BS Mechanical/ Electrical/ Sanitary/Electronics with licensed.
<br />• At least 1 year experience in related field.
<br />• Knowledgeable in MEPFS works, Materials quantification, Automatic Computer Aided design and Supervision.
<br />• Knowledge in PRIMAVERA is an advantage.
<br />• Proficient in the use of Microsoft Office applications.
<br />DDTKI PRIVACY STATEMENT
<br />DDT Konstract, Inc. (DDTKI) values your right to privacy. When you interact with us, you may share Personal Data with us. Personal Data refers to information that identifies you personally, alone or in combination with other information available to us (e.g. your name, contact number, e-mail address, IP address, home address, among others). To ensure that your right to privacy is protected in the course of our dealings and when we process your Personal Data, we are committed to comply with the Philippines’ Data Privacy Act, its implementing Rules and Regulations, and other relevant government regulations and issuances. This Privacy Statement outlines our data privacy principles and practices.",PH
SITE ENGINEER,"<p>BS Civil Engineer Graduate Preferably Licensed Civil Engineer</p><p>With At least 3 years' experience in Land Development and Heavy Structure</p><p>Willing to be assigned in Tanza, Cavite</p><p>Experience in working with multiple discipline projects.</p><p>Excellent computer skills in Microsoft Office</p>",PH
Teacher II (OSEC-DECSB-TCH2-150146-2012),"<p>Deadline for accepting applications:<strong> May 21, 2023.</strong></p><p>Only those with <strong>Civil Service Eligibility</strong> will be processed. Kindly upload your <strong>Certificate of Eligibility</strong> or PRC License.</p><p></p><p></p><p><strong>Place of Assignment: </strong>Division of City of San Fernando, Pampanga</p><p><strong></strong></p><p><strong>Plantilla Item No.:</strong> OSEC-DECSB-TCH2-150146-2012</p><p><strong></strong></p><p><strong>Salary/Job/Pay Grade: </strong>12</p><p><strong></strong></p><p><strong>Monthly Salary: </strong>Php 29,165.00</p><p><strong></strong></p><p><strong></strong></p><p><strong>QUALIFICATION</strong></p><p><strong></strong></p><p><strong>Eligibility:</strong></p><p>PBET/Teacher RA 1080 (LET)</p><p><strong></strong></p><p><strong>Education:</strong></p><p>Bachelor of Elementary Education (BEEd) or Bachelor's degree plus 18 professional units in education</p><p><strong></strong></p><p><strong>Training:</strong></p><p>None required</p><p><strong></strong></p><p><strong>Work Experience:</strong></p><p>1 year relevant experience</p><p><strong></strong></p><p><strong></strong></p><p><strong>Instructions/Remarks:</strong></p><p>Interested and qualified applicants should signify their interest in writing. Attach the following documents to the application letter and send to the address below not later than <strong>May 21, 2023.</strong></p><p><br /></p><p><strong>Documents:</strong></p><p>1. Letter of intent;</p><p>2. Fully accomplished Personal Data Sheet (PDS) including Work Experience Sheet with recent passport sized picture (CS Form No. 212, Revised 2017) which can be downloaded at www.csc.gov.ph</p><p>3. Performance rating in the last three (3) rating periods (if applicable);</p><p>4. Photocopy of authenticated certificate of eligibility/rating/license;</p><p>5. Photocopy of Transcript of Records;</p><p>6. Certificate of Employment/s and/or Service Records (with actual first and last day of service indicated);</p><p>7. Photocopy/ies of certificate of trainings/seminars attended with supporting documents/means of verifications; and</p><p>8. Outstanding accomplishments with supporting documents/means of verifications</p><p>Note: All interested and qualified individuals are encouraged to apply regardless of age, sex, sexual orientation and gender identity, civil status, disability, religion, ethnicity or political affiliation.</p><p></p><p><br /></p><p><strong>APPLICATIONS WITH INCOMPLETE DOCUMENTS SHALL NOT BE ENTERTAINED.</strong></p><p></p><p></p><p></p>",PH
Branch Sales Agent (Financial Industry),"<p><strong>QUALIFICATIONS</strong></p><ul><li>At least college level</li><li>With or without experience</li><li>Experience in sales is a plus</li><li>Willing to do field work</li></ul><p><strong>PRINCIPAL DUTIES AND RESPONSIBILITIES</strong></p><ul><li>Delivers high quality customer service by providing effective service strategy within the branch.</li><li>Completes basic transactions for customers within branch.</li><li>Educates customers on bank products and provides appropriate answers to customer inquiries.</li><li>Works with business partners to grow customer base through direct contact with the public.</li><li>Takes ownership of customer concerns and continually strive to be the primary connection between the customer and organization in order to ensure a consistent and valued customer experience.</li><li>Communicates effectively with business leaders and community members with regard to bank products and services.</li><li>Directly engages with customers and potential customers by determining customer needs, recommending bank products, and completing the account opening process.</li><li>Performs other tasks assigned by Branch Head/Cooperative Team Leader from time to time.</li></ul>",PH
Room Attendant,"Clean and sanitize rooms, hallways, and stairways
<br />Clean furniture, wash windows, and vacuum carpets
<br />Sanitize bathrooms
<br />Change bed linens and replace towels
<br />Replenish room supplies
<br />Make up beds
<br />Dust and polish furniture
<br />Sweep, vacuum, and mop floors
<br />Maintain a clean, stocked, and organized housekeeping cart",PH
Technical Sales Representative | CEBU,"<ul><li>Candidate must possess a Bachelor's Degree</li><li>Willing to travel around assigned area of coverage</li><li>Must have driver's license, with at least one year driving experience</li><li>Company Vehicle will be provided</li><li>Must be hardworking and willing to undergo training</li><li>Full Time Positions Available</li></ul>",PH
DAY CARE WORKER I,"<strong>DAY CARE WORKER I in Ilocos</strong><br /> <p>For full job description please see PDF file on Civil Service Commission site by clicking on this job ad. To apply, please kindly follow the procedure described in the PDF file.</p>",PH
Health Care Account at Nuvali Site is Hiring! Up to 23k! Apply now.,"<p><strong>Why Concentrix:</strong></p><p><strong>Prepare for an adventure filled with fun, growth, and endless possibilities!</strong></p><p><strong>At Concentrix, we celebrate diversity, empower our people, and provide unwavering support. We're not just a team; we're your dedicated squad on the path to greatness.</strong></p><p><strong>But that's not all. We proudly hold the certification as a Great Place to Work, a testament to our unwavering commitment to fostering a positive and empowering workplace culture. Join us and experience the genuine and unwavering FANATICAL care we offer to our staff!</strong></p><p><strong>Here’s a glimpse of what awaits you:</strong></p><p><strong>• Paid training</strong></p><p><strong>• Free P2P bus rides in Mega Manila</strong></p><p><strong>• Educational Assistance Program</strong></p><p><strong>• Exclusive discounts from our partner establishments</strong></p><p><strong>• HMO, life insurance, leave conversion, and many more!</strong></p><p><strong></strong></p><p><strong>Your Role as a Customer Experience (CX) Rockstar</strong></p><p><strong></strong></p><p>As a Customer Experience (CX) Rockstar, you hold a crucial position in ensuring that our clients' customers receive exceptional experience. Your primary responsibility is to address their needs and concerns promptly and professionally, leaving a lasting positive impression.</p><p></p><p>To achieve this, your excellent communication skills will be put to use. Active listening, empathy, and effective communication are key. Consistently delivering high-quality service and exceeding expectations are vital for success.</p><p></p><p>If you're passionate about CX and making a difference, start your Concentrix journey now.</p><p></p><p><strong>You are a perfect fit for the position if you:</strong></p><p><br /></p><p><strong>· Are a college graduate with or without a background in the Customer Experience (CX) industry</strong></p><p><strong>· Have at least six (6) months of background in the Customer Experience (CX) industry</strong></p><p><strong>· Have good English communication skills</strong></p><p><strong>· Have excellent customer service, problem-solving, and multitasking skills</strong></p><p><strong>· Have superb computer skills</strong></p><p><strong>· Are willing to work on shifting schedule</strong></p><p><strong></strong></p><p><strong>(insert Reimagine video)</strong></p><p><strong></strong></p><p><strong>Company Overview:</strong></p><p><strong>Hi, we're Concentrix. We are a leading global provider of customer experience (CX) solutions and technology, improving business performance for some of the world’s best brands including over 100 Fortune Global 500 clients and over 125 new economy clients. Every day, from more than 40 countries and across 6 continents, our staff delivers next generation customer experience and helps companies better connect with their customers. We create better business outcomes and help differentiate our clients by reimagining everything CX through Strategy + Talent + Technology.</strong></p><p><strong>Visit www.concentrix.com to learn more about us.</strong></p><p><br /></p>",PH
Dispensing Pharmacist,"<div><div>
<div>
 <p><b>Job Opening</b></p>
 <p>
 <strong>Dispensing Pharmacist</strong><br />
 </p>
 </div>
 <div>
 
 </div>
 <div>
 
 </div>
 <div> <p><b>Job Industry</b></p>
 <p>Pharmaceuticals</p>
 </div>
 <div>
 
 </div>
 <div>
 
 </div>
 <div> <p><b>Job Type</b></p>
 <p>Full-Time</p>
 </div>
 <div>
 
 </div>
 <div>
 
 </div>
 <div> <p><b>Date Posted</b></p>
 <p>2023-09-03</p>
 </div>
 <div>
 
 </div>
 <div> <p><b>Job Location</b></p>
 <p>
 FBIC Santor<br />City of Malolos<br />3022<br />Bulacan<br />Philippines </p>
 </div>
 <div>
 
 </div>
 <div> <p><b>Company Information</b></p>
 <p>
 <b>Lumar Pharmaceutical Laboratories Inc.</b>
 <br />
 First Bulacan Industrial Corp. <br />
 Malolos, Bulacan <br />
 pharmaceutical laboratory <br />
 </p>
 </div>
 <div>
 
 </div>
 <div> <p><b>Job Description</b></p>
 <p>Dispensing Pharmacist</p>
 </div>
 <div>
 
 </div>
 <div> <p><b>Job Qualifications</b></p>
 <p>1. Male/ Female
<br />
2. Graduate of BS Pharmacy
<br />
3. With experience in a pharmaceutical laboratory is an advantage
<br />
***email resume at nmroselyn.fbichr@gmail.com</p>
 </div>
 <div>
 
 </div>
 <div> <p><b>Compensation</b></p>
 <p>15,000 - 20,000 starting salary</p>
 </div>
 <div>
 
 </div>
 <div> <p><b>Compensation Range</b></p>
 <p>₱15,000 - ₱20,000</p>
 </div>
 <div>
 
 </div>
 <div>
 
 </div>
 <div>
 
 </div>
 <div> 
 
 </div>
 
 <div>
 
 </div>
 
</div></div>",PH
Product Management Specialist (CareerMatch - Quezon City),"<p><strong>Project Overview</strong></p><p><br /></p><p>Do you know what IT consultants dread when it comes to their day-to-day tasks? Completing detailed and descriptive timesheets! But, for Project Managers, timesheets are the holy grail of forecasting team bandwidth and capacity to take on additional projects, which the management also uses for billing customers. Unfortunately, timesheets are so time-consuming and repetitive that IT consultants often do not stick to them, leading to incomplete or incorrect submissions. As a Product Manager, you have been given the challenge of making this process less painful for everyone involved. Your mission, should you choose to accept it, is to understand the target customer base, their needs, and challenges, and come up with expected solutions. Get ready to put your detective skills to the test as you conduct a thorough problem validation by talking to the right audience and uncovering their pain points in detail.</p><p><br /></p><p>Project Mentor</p><p><br /></p><p>Indrajeet Kumar</p><p><br /></p><p>Senior Marketing Manager</p><p><br /></p><p>Project Tasks</p><p><br /></p><p>To begin solving the challenge at hand, you will undertake the following steps;</p><p><br /></p><p><strong>Part #1</strong></p><p><br /></p><p><strong>Problem Validation</strong></p><p><br /></p><p>You will start by identifying companies that use timesheet management applications and analyzing their pros and cons. Using secondary research and internal data, you will identify the target customer base and evaluate competitors with a SWOT analysis.</p><p><br /></p><p><strong>Part #2</strong></p><p><br /></p><p><strong>Customer Experience Analysis</strong></p><p><br /></p><p>Next, you will collect feedback from IT consultants and project managers to create detailed customer profiles and empathy maps. By understanding the top pain points of your target audience, you will create a solution map that will wow your customers.</p><p><br /></p><p><strong>Part #3</strong></p><p><br /></p><p><strong>Problem Areas And Benefits</strong></p><p><br /></p><p>Analyze all of your research and feedback to determine the three core problem areas that need to be solved. By identifying the benefits of solving these problems, you will create a clear value proposition document that will make impress customers. Get ready to become a problem-solving superstar!</p><p><br /></p><p>Project Takeaways</p><ul><li>Conduct problem validation.</li><li>Perform end-to-end customer experience analysis.</li><li>Develop an analytical mindset.</li><li>Get feedback from marketing experts.</li><li>Earn a certificate upon completing the project.</li></ul><p><br /></p><p>How will this project help you?</p><p><br /></p><p>This project will empower you to:</p><ul><li>Showcase employers your ability to understand user needs and pain points.</li><li>Employ the right techniques to get insights from users.</li><li>Demonstrate your ability to identify opportunities.</li><li>Prove that you can create the customer profile map and empathy map effectively</li><li>Improve project management skills.</li></ul>",PH
Mandarin Finance Manager,<p>财务（经理）岗位要求</p><p>岗位职责：</p><p>1.根据公司的会计制度规定，负责公司全盘财务会计工作，完成日常财务核算，各类明细账的准确地登录。</p><p>2. 建立健全会计核算、财务管理、预算管理等财务制度；填制会计凭证和审核会计凭证、登记明细账和总账。</p><p>3.完成公司各项账务和结算工作，正确进行核算。</p><p>4.参与公司税收筹划与管理，协助有关部门开展财务审计和年检工作。</p><p>5.根据规定的成本，费用开支范围和标准，审核原始凭证的合法性、合理性和真实性，审核费用发生的审批手续是否符合规定。</p><p>6.履行财务分析工作，编制相应的财务报表，汇报公司经营状况、经营成果、财务收支及计划的具体情况为公司高层的决策提供财务信息支持。</p><p>7、与政府监管机构、工商、税务等部门和外部会计师事务所接洽沟通协调。</p><p>8、完成上级领导交办的其他工作。</p><p><br /></p><p>任职要求：</p><p>1、会计、财务相关专业大专以上学历，具有会计经验或有资格证（财务类）优先。</p><p>2、具有扎实的财会理论知识，熟悉会计准则和税务政策(菲律宾)。</p><p>3、具有2年以上工作经验。</p><p>4、具有良好的表达沟通、观察分析、判断能力和强烈的保密意识。</p><p>5、熟练使用财务软件（金蝶、用友）及excel办公软件。</p><p>6、工作认真细致、责任心强、品行端正。</p>,PH
Kassierer/Kellner - ganzjährige Stelle,"<ul>
<li> VERFÜGBAR AB SOFORT </li>
<li> Das Gehalt wird später angegeben </li>
<li> Der Arbeitsbeginn möglich ab sofort </li>
<li> Langfristiger Einstellung ist möglich </li>
<li> Die Lage: Neustift im Stubaital, Tirol, Österreich. </li>
<li> Arbeitszeit: 5 Tage pro Woche / 8 Stunden pro Tag </li>
<li> Erforderliche Sprache: deutsch kommuikation der anfängerkenntnisse </li>
<li> Unterkunft: <b> Kostenlos </b>
</li>
<li> Verpflegung: <b> Kostenlos </b>
</li>
<p><b> Weitere Informationen zur Stelle: </b></p>
<li> Langfristige Zusammenarbeit, Gehalt entsprechend der Qualifikation. 40 Stunden pro Woche arbeiten, mehr nur ausnahmsweise. Der Testtag kann vereinbart werden. </li>
<li> Viele Tschechen und Polen gehen im Winter ins Hotel. </li>
</ul>",PH
MC Livestream Dealer Online 3000USD,"Working Hours/ Day off: 9 off 7
<br />Nếu đã từng đến các Resort &amp; Casino 5 sao như Phú Quốc – Corona, The Grand Hồ Tràm, Marina Bay Sands Casino, Resorts World Sentosa Casino, … bạn sẽ không xa lạ gì với những mô hình kinh doanh hợp pháp như thế này tại Việt Nam.

<br /><br />Chúng tôi cam kết 100% về vấn đề pháp lý, tuân thủ đúng theo mọi quy định của cơ quan quản lý sở tại, người lao động được đóng thuế, visa làm việc hợp pháp.

<br /><br />Hiện tập đoàn đang mở rộng quy mô và phương thức giải trí, có nhu cầu tuyển dụng 100 Casino Online Dealer/MC không yêu cầu ngoại ngữ tại thủ đô Manila, Philippines. Với thu nhập cao 70-150Tr++ kèm hoa hồng, tương tự bạn livestream trên các app. Tuy nhiên đảm bảo 100% thu nhập cao hơn và chế độ làm việc, nghỉ ngơi hợp lý nếu bạn đậu phỏng vấn.

<br /><br />Chỉ phát live, không phát sóng khiêu dâm hay bất kỳ hoạt động nào bất hợp pháp

<br /><br />Môi trường làm việc:
<br />Thời gian làm việc: 6 ngày một tuần, 8 giờ một ngày.
<br />Địa điểm: Tại các khu phức hợp nghỉ dưỡng 5 sao cao cấp của Philippines như Okada, với đầy đủ tiện nghi, dịch vụ giải trí, sòng bài, trung tâm hội nghị, hội thảo và cả các khách sạn sang trọng tiêu chuẩn Quốc tếtương tự Singapore hay Macau hiện đại, xa hoa.
<br />Yêu cầu:
<br />Hình ảnh đẹp, khí chất tốt, hiệu ứng ăn ảnh tốt.
<br />Nhanh nhẹn, hoạt bát, học hỏi và thích ứng tốt.
<br />Ưu tiên ứng viên có kinh nghiệm làm người dẫn chương trình, người mẫu ô tô, livestream hoặc các show giới thiệu sản phẩm, bán hàng khác;
<br />Chiều cao khoảng 1m6.
<br />Độ tuổi 21-28 tuổi;
<br />Do phát sóng nên yêu cầu phần trên không có hình xăm, không có sẹo hoặc khuyết điểm nhìn thấy được.
<br />Sức khỏe tốt, thị lực bình thường;
<br />Giọng nói to, rõ ràng.
<br />Chào đón người mới, công ty đào tạo đầy đủ về chuyên môn và được hưởng mọi quyền lợi như chính thức trong thời gian thử việc.",PH
Program Rozwojowy dla Absolwentów (Managerial Trainee Program),"<div><div>
<strong>Job Title</strong><br />Program Rozwojowy dla Absolwentów (Managerial Trainee Program)
<strong>Job Description</strong><br />
<p>Czy chcesz rozpocząć swoją karierę w jednej z najbardziej zrównoważonych firm na świecie? Chcesz mieć szybki rozwój zawodowy i otrzymać propozycję objęcia stanowiska mid-seniora po 2 latach? Oto okazja!</p>
<p>Dołącz do naszego Programu: Managerial Trainee w Signify Piła</p>
<p>Praca w Signify oznacza bycie kreatywnym. Nasza kultura ciągłego uczenia się oraz zaangażowanie w różnorodność i integrację tworzą środowisko, które pozwala Ci budować swoje umiejętności i karierę. Razem przekształcamy naszą branżę.</p>
<p>Jako światowy lider w dziedzinie oświetlenia, nieustannie wyprzedzamy trendy. Dzięki naszemu przywództwu w dziedzinie zintegrowanego oświetlenia i Internetu Rzeczy, przełamujemy nowe granice w zakresie analityki danych, AI oraz inteligentnych domów, biur, miast i nie tylko!</p>
<p>Signify jest jedną z niewielu firm na świecie, która osiągnęła neutralność węglową, a nasze kolejne cele w zakresie zrównoważonego rozwoju są jeszcze śmielsze: podwojenie naszego pozytywnego wpływu na środowisko i społeczeństwo do 2025 roku.</p>
<p><b>Co będziesz robić...</b></p>
<p>Będziesz współpracować w ramach naszych biznesów w Pile (Signify Electronics, Hue Connected, Digital Solutions) w obszarach inżynierii, łańcucha dostaw, jakości, lean i produkcji, na zasadzie rotacji przez 2 lata.</p>
<p><b>Będziesz skupiać się na:</b></p>
<ul>
<li>Realizacji projektów i wyzwań w obszarze produkcji /przemysłu lub logistyki</li>
<li>Utrzymywaniu ścisłej współpracy z Partnerami Biznesowymi na różnych szczeblach w organizacji</li>
<li>Zdobywaniu praktycznego doświadczenia np. w zakresie Six - Sigma, Lean, zarządzaniu projektami</li>
<li>Współpracować z menedżerami wysokiego szczebla z Signify</li>
</ul>
<p><b>Chcemy, abyś miał...</b></p>
<ul>
<li>Status absolwenta uczelni wyższej w dziedzinie inżynierii, logistyki, ekonomii lub pokrewne</li>
<li>Umiejętność sprawnego posługiwania się językiem angielskim</li>
<li>Elastyczność i proaktywną postawę</li>
<li>Chęci do rozwoju</li>
<li>Ambicje do budowania doświadczenia biznesowego w globalnej firmie o wysokich standardach</li>
</ul>
<p><b>Co otrzymasz w zamian...</b></p>
<ul>
<li>Atrakcyjne wynagrodzenie i benefity</li>
<li>Umowę o pracę na okres 2 lat (z możliwością przedłużenia)</li>
<li>Pracę dla firmy będącej liderem na rynku globalnym</li>
<li>Życzliwych współpracowników i atmosferę pracy rodem z XXI wieku</li>
<li>Szybką ścieżkę rozwoju kariery</li>
<li>Premię roczną</li>
<li>Szerokie możliwości nauki i rozwoju</li>
</ul>
<p>See #SignifyLife through the eyes of our employees!</p>
</div></div>",PH
Técnico/a de Mantenimiento Eólico,"<div><div>
<p><b>ACCIONA Energía es la mayor compañía energética 100% renovable y sin legado fósil del mundo. Con más de 30 años de trayectoria y operaciones en 20 países de los cinco continentes, ACCIONA Energía ofrece una amplia cartera de soluciones energéticas a medida para que sus clientes corporativos e institucionales puedan cumplir sus objetivos de descarbonización. Ello incluye el desarrollo, ingeniería, construcción, operación y mantenimiento de plantas renovables – principalmente eólicas y fotovoltaicas-, gestión y comercialización de la energía, servicios energéticos, autoconsumo, movilidad eléctrica y nuevas tecnologías como el almacenamiento y el hidrógeno verde. ACCIONA Energía se rige por los más exigentes criterios medioambientales, sociales y de gobierno corporativo (ESG).</b><br /> </p>
<div><div><div><div><div><div><div><div><div><div><div><div><div><div>
<p><b>Descripción del puesto</b></p>
</div></div></div></div></div></div></div></div></div></div></div></div></div></div>
<p>En ACCIONA Energía, nos encontramos en búsqueda de un Técnico/a de Mantenimiento Eólico para desempeñarse en Parque Eólico ubicado en la comuna de Renaico, región de La Araucanía, Chile.</p>
<p><b>Misión:</b><br />Realizar, de manera autónoma, tareas operativas complejas en su unidad/departamento, de acuerdo a las directrices marcadas por su responsable, a fin de satisfacer las necesidades del proyecto.</p>
<p><b>Producción:</b></p>
<p>Explotación de la generación energética basada en energías (según tecnología), en función de la situación real de la misma, maximizando los resultados económicos en la vida útil del proyecto y asegurando funcionamiento de los mismos en las mejores condiciones de seguridad para personas e instalaciones y preservando el medio ambiente.</p>
<p>Realizar el mantenimiento predictivo, preventivo y correctivo de toda la infraestructura asociada a los parques eólicos, incluyendo aerogeneradores, media tensión, sistemas de comunicaciones y equipos auxiliares.</p>
<p><b>Funciones:</b></p>
<p>- Ejecutar las actividades de mantenimiento preventivo, correctivo y predictivo necesarias para el óptimo funcionamiento de los parques eólicos y el cumplimiento de los objetivos de producción, disponibilidad y eficiencia de ACCIONA Energía.</p>
<p>- Ejecutar las actividades de mantenimiento en estricto cumplimiento de las normas y procedimientos de prevención de riesgos, calidad y medio ambiente.</p>
<p>- Realizar el control y seguimiento continuo de la operación de los parques eólicos para lograr el óptimo rendimiento de los activos, analizando y resolviendo averías.</p>
<p>- Proponer e implementar acciones para incrementar la eficiencia y la eficacia de las actividades de mantenimiento.</p>
<p>- Reportar la información necesaria en los sistemas de mantenimiento MAXIMO, SCS, ENABLON.</p>
<p>- Colaborar en la mejora continua en lo que respecta a prevención de riesgos reportando eventuales incidencias y/o condiciones inseguras oportunamente.</p>
<p>- Colaborar con los soportes de equipos globales y locales en las distintas iniciativas para mejorar la perfomance de los parques eólicos.</p>
<p>- Participar activamente en la planificación de los trabajos, realización de procedimientos y la revisión de documentación en conjunto con otros miembros del equipo.</p>
<p>- Participar en el sistema de turnos de disponibilidad para atención de fallas.</p>
<p>- Supervisar a las empresas contratistas y subcontratistas de ACCIONA que trabajen en los parques eólicos para la ejecución de los trabajos con calidad, seguridad y respeto al medio ambiente requeridos por ACCIONA.</p>
<div><div><div><div><div><div><div><div><div><p>#LI-MR1</p></div></div></div></div></div></div></div></div></div>
<div><div><div><div><div><div><div><div><div><div><div><div><div><div>
<p><b>Requisitos del candidato</b></p>
</div></div></div></div></div></div></div></div></div></div></div></div></div></div>
<p>- Titulado/a en Técnico Eléctrico / Técnico Mecánico / Técnico Electrónico.</p>
<p>- Al menos 2 años de experiencia en cargos de mantenimiento.</p>
<p>- Licencia de conducir clase B al día.</p>
<p>- Conocimientos de hidráulica, mecánica, equipos electromecánicos, esquemas eléctricos, instrumentación, control y subestaciones.</p>
<p>- Deseable experiencia en Parques Eólicos.</p>
<p>Somos una compañía que valora la diversidad como fuente de talento y por ello trabajamos para impulsar un entorno inclusivo en el que se promueve el respeto, la pertenencia y el compromiso de forma que todas las personas puedan participar en igualdad de oportunidades. Invitamos a todas las personas a inscribirse con independencia del origen, circunstancias, bagaje o condición. ACCIONA ha recibido la certificación Top Employer 2021, 2022 y 2023, que reconoce a la Compañía como una de las mejores empresas para trabajar en España.</p>
</div></div>",PH
Warehouse Picker,"<p><strong>OVERVIEW:</strong></p><ul><li>Ang Picker ay responsable sa pagchecheck ng orders at pagpili ng tamang items mula sa warehouse bago ipasa sa delivery.</li></ul><p><br /></p><p><strong>DUTIES AND RESPONSIBILITY</strong></p><ul><li>Nag hahanda ng summary at mga stocks.</li><li>Nag aayos ng mga stocks sa warehouse.</li><li>Nag babalik sa tamang pwesto ng mga Returned Good Stocks.</li><li>Nag aayos sa kamada ng stocks.</li><li>Nagpapanatili ng kalinisan sa warehouse.</li></ul><p><br /></p><p><strong>Job Type: </strong>Full-time</p><p><br /></p><p><strong>Salary: </strong>Php11,000.00 - Php12,000.00 per month</p><p><br /></p><p><strong>Benefits:</strong></p><ul><li>Employee discount</li><li>Paid training</li></ul><p><br /></p><p><strong>Schedule:</strong></p><ul><li>8 hour shift</li></ul><p><br /></p><p><strong>Supplemental pay types:</strong></p><ul><li>Bonus pay</li></ul><p><br /></p><p><strong>Ability to commute/relocate:</strong></p><ul><li>San Fernando, Pampanga: Reliably commute or planning to relocate before starting work (Preferred)</li></ul>",PH
Informático /a - planta de alimentación,"<strong> Informático /a - planta de alimentación <br /> Pontevedra <br /> Pontevedra, Galicia, ES </strong><br /><p> Empresa dedicada al sector de la alimentación necesita la incorporación de un/a informático/a para estar en planta en Cambados. Las tareas a desempeñar son las siguientes: </p>
<ul>
<li> Administrar y configurar Axapta, en todos sus niveles de gestión. </li>
<li> Soporte a todos los departamentos de la empresa a nivel de hardware como también en sus equipos, ya sean escáneres, impresoras de etiquetas, etc. </li>
<li> Resolver las consultas sobre los temas informáticos y dar formación si es el caso al personal. </li>
<li> Control de los procesos internos que requieren parametrizaciones a nivel informático, con el fin que los procesos, ya sean administrativos o de producción, tengan un funcionamiento óptimo. </li>
<li> Soporte y control a la empresa a nivel de telefonía fija y móvil. </li>
<li> Resolver los problemas conjuntamente con la empresa externa que corresponda, a nivel de alarmas y cámaras de seguridad. </li>
<li> Efectuar la configuración, programación y mantenimiento de los equipos de etiquetaje así como del sofware de producción. </li>
<li> Configuración de las etiquetas nuevas como de las actuales, según la normativa y los requerimientos de los clientes. </li>
<li> Aseguramiento de la trazabilidad de la producción a través de Axapta. </li>
<li> Soporte a empresas externas en todos los niveles informáticos de su organización, ya sean administrativos como productivos. </li>
<li> Entra otras tareas propias del puesto de trabajo. </li>
</ul> $<p>- Experiencia mínima de 1 año en un puesto similar al descrito. </p>
<ul>
<li> Buscamos a una persona dinámica y polivalente. </li>
<li> Valorable residencia cercana al puesto de trabajo. </li>
</ul>
<p>$Castellano hablado y escrito correctamente. </p>
<p>$GS en Informática y/o similar. </p>",PH
